iter	Passed	Remaining
684	26027	353937
685	26062	353853
686	26096	353758
687	26130	353668
688	26165	353588
689	26202	353539
690	26237	353463
691	26273	353402
692	26309	353334
693	26345	353270
694	26381	353215
695	26418	353155
696	26454	353093
697	26489	353019
698	26525	352949
699	26560	352878
700	26597	352819
701	26633	352765
702	26669	352693
703	26708	352679
704	26744	352615
705	26780	352543
706	26815	352470
707	26849	352380
708	26885	352317
709	26923	352286
710	26960	352232
711	26996	352172
712	27033	352115
713	27069	352050
714	27104	351975
715	27140	351918
716	27176	351849
717	27212	351788
718	27250	351757
719	27286	351690
720	27322	351629
721	27358	351573
722	27394	351504
723	27432	351470
724	27467	351392
725	27503	351331
726	27538	351253
727	27573	351188
728	27610	351129
729	27646	351074
730	27681	351004
731	27717	350934
732	27754	350885
733	27790	350827
734	27824	350744
735	27859	350666
736	27894	350597
737	27929	350523
738	27964	350449
739	27999	350372
740	28035	350307
741	28070	350238
742	28107	350183
743	28144	350137
744	28178	350060
745	28213	349983
746	28247	349901
747	28284	349849
748	28319	349781
749	28355	349714
750	28388	349621
751	28425	349578
752	28462	349529
753	28500	349485
754	28535	349423
755	28572	349374
756	28606	349292
757	28643	349239
758	28678	349170
759	28714	349109
760	28750	349046
761	28787	348998
762	28822	348926
763	28858	348875
764	28896	348831
765	28931	348761
766	28966	348698
767	29001	348625
768	29038	348575
769	29074	348518
770	29109	348449
771	29146	348401
772	29180	348316
773	29214	348230
774	29250	348172
775	29286	348122
776	29323	348072
777	29360	348024
778	29395	347955
779	29430	347880
780	29466	347822
781	29501	347749
782	29535	347676
783	29570	347601
784	29607	347557
785	29645	347522
786	29681	347468
787	29716	347393
788	29750	347318
789	29786	347260
790	29821	347194
791	29858	347142
792	29894	347087
793	29931	347034
794	29964	346951
795	29998	346871
796	30034	346805
797	30068	346726
798	30104	346676
799	30142	346634
800	30176	346558
801	30212	346496
802	30246	346425
803	30283	346376
804	30321	346345
805	30357	346283
806	30393	346233
807	30430	346185
808	30466	346125
809	30504	346096
810	30540	346036
811	30577	345988
812	30613	345939
813	30648	345866
814	30685	345824
815	30722	345775
816	30756	345698
817	30793	345654
818	30829	345597
819	30863	345515
820	30898	345457
821	30935	345405
822	30970	345336
823	31005	345280
824	31040	345211
825	31075	345146
826	31111	345089
827	31146	345023
828	31181	344954
829	31216	344887
830	31251	344821
831	31286	344758
832	31323	344711
833	31360	344661
834	31393	344579
835	31432	344553
836	31467	344492
837	31505	344452
838	31539	344383
839	31575	344322
840	31609	344251
841	31645	344189
842	31680	344127
843	31717	344081
844	31754	344034
845	31788	343963
846	31823	343900
847	31861	343868
848	31900	343846
849	31936	343788
850	31972	343736
851	32009	343683
852	32045	343631
853	32080	343565
854	32115	343508
855	32151	343451
856	32185	343377
857	32221	343325
858	32257	343262
859	32293	343207
860	32330	343166
861	32365	343108
862	32401	343051
863	32437	342991
864	32473	342943
865	32509	342888
866	32546	342844
867	32580	342774
868	32616	342719
869	32651	342649
870	32686	342584
871	32723	342549
872	32762	342525
873	32790	342389
874	32819	342258
875	32856	342212
876	32892	342163
877	32928	342113
878	32964	342055
879	33000	342008
880	33034	341931
881	33068	341860
882	33105	341810
883	33139	341737
884	33175	341692
885	33210	341627
886	33245	341566
887	33281	341506
888	33317	341456
889	33353	341401
890	33388	341343
891	33425	341304
892	33460	341233
893	33495	341172
894	33531	341125
895	33567	341072
896	33603	341016
897	33642	340995
898	33679	340957
899	33716	340911
900	33752	340854
901	33787	340797
902	33824	340755
903	33859	340693
904	33892	340607
905	33928	340553
906	33963	340492
907	33998	340431
908	34032	340358
909	34070	340328
910	34106	340274
911	34142	340224
912	34179	340181
913	34223	340213
914	34261	340179
915	34303	340188
916	34341	340158
917	34372	340054
918	34413	340054
919	34452	340030
920	34491	340011
921	34530	339986
922	34571	339981
923	34610	339963
924	34650	339950
925	34690	339935
926	34729	339918
927	34768	339892
928	34807	339871
929	34846	339848
930	34884	339819
931	34921	339768
932	34964	339788
933	35000	339740
934	35038	339703
935	35074	339650
936	35109	339591
937	35143	339521
938	35177	339449
939	35213	339394
940	35248	339332
941	35284	339286
942	35319	339228
943	35356	339184
944	35392	339135
945	35428	339083
946	35463	339019
947	35497	338947
948	35533	338896
949	35570	338855
950	35605	338796
951	35644	338774
952	35682	338735
953	35717	338676
954	35752	338619
955	35786	338549
956	35814	338426
957	35844	338312
958	35884	338301
959	35922	338267
960	35957	338209
961	35992	338153
962	36029	338106
963	36065	338059
964	36101	338009
965	36138	337969
966	36173	337906
967	36208	337848
968	36244	337797
969	36281	337756
970	36317	337704
971	36353	337650
972	36390	337614
973	36424	337542
974	36460	337496
975	36496	337440
976	36531	337383
977	36568	337342
978	36604	337293
979	36642	337260
980	36679	337217
981	36716	337183
982	36753	337140
983	36789	337083
984	36823	337017
985	36858	336955
986	36895	336917
987	36929	336855
988	36964	336793
989	37000	336743
990	37037	336698
991	37076	336674
992	37110	336614
993	37147	336572
994	37186	336543
995	37220	336478
996	37258	336444
997	37296	336413
998	37330	336351
999	37368	336315
1000	37405	336275
1001	37440	336219
1002	37477	336173
1003	37513	336124
1004	37548	336067
1005	37582	336003
1006	37616	335934
1007	37651	335875
1008	37686	335814
1009	37724	335782
1010	37759	335729
1011	37794	335670
1012	37829	335612
1013	37866	335568
1014	37901	335516
1015	37938	335471
1016	37973	335417
1017	38010	335371
1018	38046	335323
1019	38081	335267
1020	38117	335220
1021	38145	335099
1022	38175	334995
1023	38212	334954
1024	38249	334918
1025	38285	334868
1026	38321	334814
1027	38355	334748
1028	38391	334700
1029	38428	334663
1030	38463	334603
1031	38498	334552
1032	38535	334508
1033	38570	334450
1034	38607	334413
1035	38644	334368
1036	38679	334312
1037	38714	334258
1038	38751	334217
1039	38786	334163
1040	38821	334106
1041	38857	334053
1042	38895	334021
1043	38931	333973
1044	38964	333904
1045	38999	333846
1046	39034	333786
1047	39072	333753
1048	39107	333703
1049	39144	333658
1050	39178	333598
1051	39213	333539
1052	39248	333484
1053	39287	333463
1054	39323	333413
1055	39359	333362
1056	39393	333298
1057	39430	333255
1058	39464	333192
1059	39499	333141
1060	39535	333087
1061	39570	333033
1062	39605	332979
1063	39643	332947
1064	39694	333024
1065	39740	333059
1066	39781	333051
1067	39818	333013
1068	39853	332959
1069	39890	332920
1070	39928	332883
1071	39963	332829
1072	39999	332780
1073	40034	332725
1074	40070	332678
1075	40108	332644
1076	40144	332601
1077	40181	332557
1078	40218	332519
1079	40254	332472
1080	40289	332417
1081	40325	332369
1082	40363	332333
1083	40400	332300
1084	40435	332239
1085	40472	332204
1086	40510	332174
1087	40546	332123
1088	40583	332085
1089	40619	332032
1090	40654	331983
1091	40691	331937
1092	40726	331884
1093	40762	331834
1094	40797	331781
1095	40833	331733
1096	40870	331691
1097	40906	331645
1098	40941	331596
1099	40977	331546
1100	41011	331482
1101	41049	331446
1102	41084	331397
1103	41118	331333
1104	41152	331265
1105	41188	331220
1106	41223	331165
1107	41257	331106
1108	41291	331041
1109	41327	330994
1110	41364	330954
1111	41401	330910
1112	41436	330862
1113	41472	330810
1114	41507	330760
